Factors for n=100000
9999999901 : 227*227*227*227*227*227*227*227*7050287992278341281
9999999902 : 2*2*2*2*2*2*2*2*256
9999999904 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*1099511627776
9999999906 : 2*2*2*2*2*2*2*2*256
9999999908 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*65536
9999999909 : 3803*3803*3803*3803*3803*3803*3803*3803*1386061589516712673
9999999910 : 2*2*2*2*2*2*2*2*256
9999999912 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*16777216
9999999914 : -8817350700628827904*2*2*2*2*2*2*2*2*947*947*947*947*947*947*947*947
9999999915 : -7058702649853634175*23*23*23*23*23*23*23*23*10103*10103*10103*10103*10103*10103*10103*10103
9999999916 : -8824064514872770560*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*59*59*59*59*59*59*59*59
9999999917 : 50951*50951*50951*50951*50951*50951*50951*50951*156478868318060225
9999999918 : 2*2*2*2*2*2*2*2*256
9999999920 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*4294967296
9999999922 : 2*2*2*2*2*2*2*2*256
9999999924 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*65536
9999999925 : 11171*11171*11171*11171*11171*11171*11171*11171*5593938611178571937
9999999926 : 2*2*2*2*2*2*2*2*256
9999999928 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*16777216
9999999930 : 2*2*2*2*2*2*2*2*256
9999999932 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*65536
9999999934 : 2*2*2*2*2*2*2*2*256
9999999936 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*281474976710656
9999999938 : 2*2*2*2*2*2*2*2*23*23*23*23*23*23*23*23*20047612231936
9999999940 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*65536
9999999942 : -7819813348971577088*2*2*2*2*2*2*2*2*2081*2081*2081*2081*2081*2081*2081*2081
9999999944 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*16777216
9999999946 : 2*2*2*2*2*2*2*2*10709*10709*10709*10709*10709*10709*10709*10709*614655328736141568
9999999948 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*65536
9999999949 : 269*269*269*269*269*269*269*269*8970149108871739425
9999999950 : 2*2*2*2*2*2*2*2*256
9999999951 : 97*97*97*97*97*97*97*97*7837433594376961
9999999952 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*4294967296
9999999954 : 2*2*2*2*2*2*2*2*256
9999999956 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*65536
9999999958 : 2*2*2*2*2*2*2*2*256
9999999960 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*16777216
9999999961 : 23*23*23*23*23*23*23*23*78310985281
9999999962 : 2*2*2*2*2*2*2*2*256
9999999964 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*65536
9999999965 : -1636513270532615551*1327*1327*1327*1327*1327*1327*1327*1327
9999999966 : 2*2*2*2*2*2*2*2*256
9999999968 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*1099511627776
9999999970 : 2*2*2*2*2*2*2*2*256
9999999972 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*65536
9999999973 : -7971469634693215135*661*661*661*661*661*661*661*661
9999999974 : 2*2*2*2*2*2*2*2*256
9999999975 : 59*59*59*59*59*59*59*59*146830437604321
9999999976 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*16777216
9999999978 : 2*2*2*2*2*2*2*2*256
9999999979 : -3260094447642759519*3613*3613*3613*3613*3613*3613*3613*3613
9999999980 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*65536
9999999982 : 2*2*2*2*2*2*2*2*256
9999999984 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*23*23*23*23*23*23*23*23*4301727372660441088
9999999986 : 2*2*2*2*2*2*2*2*256
9999999988 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*65536
9999999990 : 2*2*2*2*2*2*2*2*256
9999999992 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*16777216
9999999994 : 2*2*2*2*2*2*2*2*256
9999999996 : -7763892602895532032*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2381*2381*2381*2381*2381*2381*2381*2381
9999999998 : 2*2*2*2*2*2*2*2*256
10000000000 : 0*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2*2
