Factors for n=10000000
99999999999901 : 19001*5262880901
99999999999902 : 2*47*284407*3740519
99999999999903 : 3*167*229*8563*101789
99999999999904 : 2*2*2*2*2*71*25229*1744583
99999999999905 : 5*1187*16849199663
99999999999906 : 2*3*1402231*11885821
99999999999907 : 7*17*1301*23993*26921
99999999999908 : 2*2*19*1021*2281*564983
99999999999909 : 3*3*139*79936051159
99999999999910 : 2*5*31*3391*95128471
99999999999911 : 11*11*79*1201*8710529
99999999999912 : 2*2*2*3*31771*131146853
99999999999913 : 13*89*797*108444697
99999999999914 : 2*7*29*246305418719
99999999999915 : 3*5*134489*49570349
99999999999916 : 2*2*280229*89212751
99999999999917 : 705307*141782231
99999999999918 : 2*3*3*5555555555551
99999999999919 : 23*434783*9999991
99999999999920 : 2*2*2*2*5*929*1345532831
99999999999921 : 3*7*7*43*103*153594967
99999999999922 : 2*11*41*41*2704018171
99999999999923 : 99999999999923
99999999999924 : 2*2*3*17*59*8308408109
99999999999925 : 5*5*3877*1031725561
99999999999926 : 2*13*29033*132475247
99999999999927 : 3*3*3*19*420809*463231
99999999999928 : 2*2*2*7*1785714285713
99999999999929 : 99999999999929
99999999999930 : 2*3*5*523*3049*2090353
99999999999931 : 99999999999931
99999999999932 : 2*2*24999999999983
99999999999933 : 3*11*317*9559315553
99999999999934 : 2*61*819672131147
99999999999935 : 5*7*31721*90071021
99999999999936 : 2*2*2*2*2*2*3*3*138889*1249999
99999999999937 : 37*53*4219*12086843
99999999999938 : 2*4049*6569*1879849
99999999999939 : 3*13*13*59663*3305879
99999999999940 : 2*2*5*109*353*129947761
99999999999941 : 17*31*64747*2930689
99999999999942 : 2*3*7*23*991*104459807
99999999999943 : 29*3448275862067
99999999999944 : 2*2*2*11*67*16960651289
99999999999945 : 3*3*5*163*181*75321907
99999999999946 : 2*19*1699*1548898733
99999999999947 : 97*227*15901*285613
99999999999948 : 2*2*3*233*1049*34094737
99999999999949 : 7*47*2239*135753179
99999999999950 : 2*5*5*3833*521784503
99999999999951 : 3*941*10627*3333331
99999999999952 : 2*2*2*2*13*383*1255272143
99999999999953 : 149*23081*29077637
99999999999954 : 2*3*3*3*3*73*409*20674681
99999999999955 : 5*11*246209*7384709
99999999999956 : 2*2*7*113*14071*2246149
99999999999957 : 3*33333333333319
99999999999958 : 2*17*761*3864883667
99999999999959 : 99999999999959
99999999999960 : 2*2*2*3*5*311*2679528403
99999999999961 : 433*1297*178062361
99999999999962 : 2*49999999999981
99999999999963 : 3*3*7*41*137*157*1799929
99999999999964 : 2*2*43*83*107*563*116279
99999999999965 : 5*13*19*23*3520506953
99999999999966 : 2*3*11*263*2801*2056777
99999999999967 : 6475739*15442253
99999999999968 : 2*2*2*2*2*3124999999999
99999999999969 : 3*33333333333323
99999999999970 : 2*5*7*7*56527*3610339
99999999999971 : 99999999999971
99999999999972 : 2*2*3*3*29*31*3089852923
99999999999973 : 99999999999973
99999999999974 : 2*37*19919*67842329
99999999999975 : 3*5*5*17*71*1657*666667
99999999999976 : 2*2*2*241*379*136852823
99999999999977 : 7*11*11699*111009599
99999999999978 : 2*3*13*6277*204245863
99999999999979 : 151*211*3138633439
99999999999980 : 2*2*5*491*10183299389
99999999999981 : 3*3*3*127*29163021289
99999999999982 : 2*3617639*13821169
99999999999983 : 59*179*9468800303
99999999999984 : 2*2*2*2*3*7*19*191*4363*18797
99999999999985 : 5*19999999999997
99999999999986 : 2*199*251256281407
99999999999987 : 3*4679*7124029351
99999999999988 : 2*2*11*23*98814229249
99999999999989 : 2460707*40638727
99999999999990 : 2*3*3*5*53*79*265371653
99999999999991 : 7*13*769231*1428571
99999999999992 : 2*2*2*17*673*1481*737719
99999999999993 : 3*607*1511*1997*18199
99999999999994 : 2*2711*18443378827
99999999999995 : 5*61*21031*15589789
99999999999996 : 2*2*3*47*35461*4999999
99999999999997 : 839*119189511323
99999999999998 : 2*7*7142857142857
99999999999999 : 3*3*11*239*4649*909091
100000000000000 : 2*2*2*2*2*2*2*2*2*2*2*2*2*2*5*5*5*5*5*5*5*5*5*5*5*5*5*5
