Factors for n=1000
999901 : 7*83*581
999902 : 2*23*46
999903 : 3*79*237
999904 : 2*2*2*2*2*32
999905 : 5*31*155
999906 : 2*3*17*102
999907 : 1
999908 : 2*2*7*13*41*67
999909 : 3*3*241*461
999910 : 2*5*10
999911 : 11*11
999912 : 2*2*2*3*61*683
999913 : 19*19
999914 : 2*2
999915 : 3*5*7*89*107
999916 : 2*2*457*547
999917 : 1
999918 : 2*3*3*3*54
999919 : 991*991
999920 : 2*2*2*2*5*29*431
999921 : 3*13*39
999922 : 2*7*11*43*151
999923 : 17*131*2227
999924 : 2*2*3*103*809
999925 : 5*5*23*37*47
999926 : 2*263*526
999927 : 3*3*9
999928 : 2*2*2*8
999929 : 7*211*677
999930 : 2*3*5*30
999931 : 1
999932 : 2*2*19*59*223
999933 : 3*11*157*193
999934 : 2*13*26
999935 : 5*227*881
999936 : 2*2*2*2*2*2*2*2*2*3*3*7*31
999937 : 113*113
999938 : 2*2
999939 : 3*149*447
999940 : 2*2*5*17*17*173
999941 : 577*577
999942 : 2*3*6
999943 : 7*7*49
999944 : 2*2*2*11*11*968
999945 : 3*3*3*3*3*5*823
999946 : 2*2
999947 : 13*13
999948 : 2*2*3*23*276
999949 : 29*29*29*41
999950 : 2*5*5*7*350
999951 : 3*19*53*331
999952 : 2*2*2*2*16
999953 : 1
999954 : 2*3*3*73*761
999955 : 5*11*55
999956 : 2*2*4
999957 : 3*7*17*357
999958 : 2*2
999959 : 1
999960 : 2*2*2*3*5*13*641
999961 : 1
999962 : 2*37*74
999963 : 3*3*137*811
999964 : 2*2*7*71*503
999965 : 5*43*215
999966 : 2*3*11*109*139
999967 : 31*31
999968 : 2*2*2*2*2*32
999969 : 3*3
999970 : 2*5*19*19*277
999971 : 7*23*161
999972 : 2*2*3*3*3*47*197
999973 : 13*13*61*97
999974 : 2*17*34
999975 : 3*5*5*67*199
999976 : 2*2*2*239*523
999977 : 11*11
999978 : 2*3*7*29*821
999979 : 1
999980 : 2*2*5*20
999981 : 3*3*9
999982 : 2*79*158
999983 : 1
999984 : 2*2*2*2*3*83*251
999985 : 5*7*35
999986 : 2*13*26
999987 : 3*257*771
999988 : 2*2*11*44
999989 : 19*19
999990 : 2*3*3*5*41*271
999991 : 17*59*997
999992 : 2*2*2*7*7*392
999993 : 3*3
999994 : 2*23*46
999995 : 5*5
999996 : 2*2*3*167*2004
999997 : 757*757
999998 : 2*31*127*7874
999999 : 3*3*3*7*11*13*37
1000000 : 2*2*2*2*2*2*5*5*5*5*5*5
