Factors for n=1000000
999999999901 : 7*142857142843
999999999902 : 2*17*239*3169*38833
999999999903 : 3*31*10752688171
999999999904 : 2*2*2*2*2*653*47856049
999999999905 : 5*2543*78647267
999999999906 : 2*3*166666666651
999999999907 : 157*6369426751
999999999908 : 2*2*7*13*449*1301*4703
999999999909 : 3*3*111111111101
999999999910 : 2*5*83*1289*934693
999999999911 : 11*67*71*19110593
999999999912 : 2*2*2*3*22067*1888189
999999999913 : 79*241*52523767
999999999914 : 2*22669*22056553
999999999915 : 3*5*7*9523809523
999999999916 : 2*2*331*5443*138763
999999999917 : 19*1399*37620857
999999999918 : 2*3*3*3*23*181*4448359
999999999919 : 17*59*293*997*3413
999999999920 : 2*2*2*2*5*12499999999
999999999921 : 3*13*47*12941*42157
999999999922 : 2*7*11*29*29*7721173
999999999923 : 947*1055966209
999999999924 : 2*2*3*83333333327
999999999925 : 5*5*37*9923*108947
999999999926 : 2*433*1154734411
999999999927 : 3*3*111111111103
999999999928 : 2*2*2*73*1712328767
999999999929 : 7*142857142847
999999999930 : 2*3*5*307*108577633
999999999931 : 53*277*2647*25733
999999999932 : 2*2*79493*3144931
999999999933 : 3*11*30303030301
999999999934 : 2*13*31*109*11382521
999999999935 : 5*571*350262697
999999999936 : 2*2*2*2*2*2*3*3*7*7*17*19*43*2551
999999999937 : 999999999937
999999999938 : 2*647*772797527
999999999939 : 3*55373*6019781
999999999940 : 2*2*5*19009*2630333
999999999941 : 23*41*281*467*8081
999999999942 : 2*3*61*2732240437
999999999943 : 7*142159*1004911
999999999944 : 2*2*2*11*107*661*160669
999999999945 : 3*3*3*5*56239*131713
999999999946 : 2*32833*15228581
999999999947 : 13*13*523*11313881
999999999948 : 2*2*3*10607*7856447
999999999949 : 443*10859*207877
999999999950 : 2*5*5*7*97*193*152617
999999999951 : 3*29*34483*333331
999999999952 : 2*2*2*2*421*148456057
999999999953 : 17*58823529409
999999999954 : 2*3*3*191*290866783
999999999955 : 5*11*19*1069*895171
999999999956 : 2*2*139*151*1973*6037
999999999957 : 3*7*2861*16644197
999999999958 : 2*499999999979
999999999959 : 999999999959
999999999960 : 2*2*2*3*5*13*7477*85733
999999999961 : 999999999961
999999999962 : 2*37*13513513513
999999999963 : 3*3*1033*107561579
999999999964 : 2*2*7*23*21739*71429
999999999965 : 5*31*6451612903
999999999966 : 2*3*11*131*10657*10853
999999999967 : 32983*30318649
999999999968 : 2*2*2*2*2*47*1753*379289
999999999969 : 3*333333333323
999999999970 : 2*5*17*5882352941
999999999971 : 7*8011*17832623
999999999972 : 2*2*3*3*3*3*199*15509647
999999999973 : 13*673*769*148633
999999999974 : 2*19*111509*235997
999999999975 : 3*5*5*163*409*199999
999999999976 : 2*2*2*124999999997
999999999977 : 11*130457*696851
999999999978 : 2*3*7*59*67*6023153
999999999979 : 43*108637*214069
999999999980 : 2*2*5*29*1724137931
999999999981 : 3*3*577*192566917
999999999982 : 2*41*71*171762281
999999999983 : 229*4366812227
999999999984 : 2*2*2*2*3*53*53*89*167*499
999999999985 : 5*7*7*7*1733*336463
999999999986 : 2*13*113*401*848797
999999999987 : 3*17*23*852514919
999999999988 : 2*2*11*124847*182041
999999999989 : 999999999989
999999999990 : 2*3*3*5*21649*513239
999999999991 : 757*1321*1000003
999999999992 : 2*2*2*7*79*103*439*4999
999999999993 : 3*19*83*211371803
999999999994 : 2*49369*10127813
999999999995 : 5*251*1831*435179
999999999996 : 2*2*3*31*127*127*166667
999999999997 : 5507*181587071
999999999998 : 2*2969*168406871
999999999999 : 3*3*3*7*11*13*37*101*9901
1000000000000 : 2*2*2*2*2*2*2*2*2*2*2*2*5*5*5*5*5*5*5*5*5*5*5*5
